"","Year","Month","Province","ah_mean","rh_mean","t2m_mean","tp_mean","extremeTP","extremeHeat","spi"
"147",2003,2,"Ubon Ratchathani",26.79446052,0.640379631,299.9128788,2.09e-05,0,0,1.17319228415412
"148",2003,2,"Udon Thani",24.73302375,0.688239334,298.4966701,3.06e-05,0,0,0.869229266652292
"149",2003,2,"Uthai Thani",23.73173442,0.747134469,297.7930038,2.39e-05,0,0,0.412169072891287
"150",2003,2,"Uttaradit",23.6404131,0.712345092,297.6309906,2.94e-05,1,0,0.820871080050867
"151",2003,2,"Yala",24.24869255,0.776831405,298.349459,4.67e-05,0,0,0.0627313156453744
"152",2003,2,"Yasothon",25.99141983,0.669186482,299.3483146,1.81e-05,0,0,0.647362422886246
"153",2003,3,"Amnat Charoen",27.26874242,0.686157622,300.336078,7.59e-05,1,1,0.928470261736441
"154",2003,3,"Ang Thong",30.64799846,0.71133347,302.495844,0.000120071,3,6,1.55353077839241
"155",2003,3,"Bangkok",29.62149407,0.762021631,302.0026508,0.000155416,2,5,1.78058556162319
"156",2003,3,"Buri Ram",27.82899299,0.70492422,300.772657,0.000120246,2,3,1.47329195852893
"157",2003,3,"Chachoengsao",28.39823737,0.77777677,301.2570934,0.00010454,2,0,0.917876269453251
"158",2003,3,"Chai Nat",30.28304006,0.693578934,302.2525124,0.000135442,2,7,1.94133979949138
"159",2003,3,"Chaiyaphum",25.2570013,0.736295623,299.0650301,0.000115518,3,0,1.50510770301389
"160",2003,3,"Chanthaburi",26.2522197,0.848391786,299.9644717,0.000163609,3,0,1.04253789762503
"161",2003,3,"Chiang Mai",22.62188423,0.658085212,296.7825757,4.79e-05,0,0,0.824839965891352
"162",2003,3,"Chiang Rai",22.72063513,0.719035153,296.9804955,0.000106518,1,0,1.37913694312722
"163",2003,3,"Chon Buri",28.18251295,0.792833733,301.1811155,0.000149729,3,0,1.10322141232571
"164",2003,3,"Chumphon",26.43698496,0.812278406,300.0902776,0.000157913,3,0,0.62260148748319
"165",2003,3,"Kalasin",26.58235429,0.693629915,299.8487386,5.61e-05,0,0,0.806667319483044
"166",2003,3,"Kamphaeng Phet",26.93486632,0.742550151,300.1278947,0.000203448,5,1,1.908233171455
"167",2003,3,"Kanchanaburi",25.7016725,0.75411699,299.3249953,0.000167865,1,3,2.05785231405937
"168",2003,3,"Khon Kaen",26.9996343,0.68961875,300.173247,7.58e-05,1,0,1.15974395224752
"169",2003,3,"Krabi",29.2490739,0.721497258,301.7679785,8.74e-05,1,13,0.228095021867966
"170",2003,3,"Lampang",25.44041277,0.688837136,298.9564117,7.32e-05,0,0,1.04553248469078
"171",2003,3,"Lamphun",25.06875709,0.677339283,298.5809738,4.75e-05,0,0,0.938287264451495
"172",2003,3,"Loei",23.99730179,0.723153667,298.098678,8.42e-05,0,0,1.17358652467795
"173",2003,3,"Lop Buri",29.40029567,0.693074701,301.7646762,0.000101391,2,6,1.63924447673404
"174",2003,3,"Mae Hong Son",23.3931757,0.589750085,297.2864371,1.79e-05,0,0,0.606442639019536
"175",2003,3,"Maha Sarakham",27.43101139,0.687807786,300.4215683,8.31e-05,0,0,1.03248776403304
"176",2003,3,"Mukdahan",25.47396215,0.714457372,299.0708745,0.000109397,2,0,1.27766162575678
"177",2003,3,"Nakhon Nayok",27.25389398,0.771810758,300.4811893,0.000168704,4,0,1.50141570890347
