"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"178",2003,11,"Nakhon Pathom",30,0,15,105,87,1,18,1,0
"179",2003,11,"Nakhon Phanom",1,0,21,76,55,0,19,0,0
"180",2003,11,"Nakhon Ratchasima",14,5,34,59,406,1,7,0,0
"181",2003,11,"Nakhon Sawan",25,2,33,3,151,1,73,34,2
"182",2003,11,"Nakhon Si Thammarat",35,0,54,1,88,2,72,24,0
"183",2003,11,"Nan",0,0,21,1,57,0,49,28,0
"184",2003,11,"Narathiwat",40,0,92,0,200,37,42,8,1
"185",2003,11,"Nong Bua Lam Phu",2,0,6,1,64,4,42,21,1
"186",2003,11,"Nong Khai",0,0,1,0,36,6,45,42,1
"187",2003,11,"Nonthaburi",9,0,24,0,66,0,27,58,1
"188",2003,11,"Pathum Thani",7,0,41,3,105,13,50,102,0
"189",2003,11,"Pattani",5,0,10,1,58,61,28,99,1
"190",2003,11,"Phangnga",7,0,30,0,19,11,26,88,2
"191",2003,11,"Phatthalung",17,0,21,2,100,12,29,35,0
"192",2003,11,"Phayao",1,1,17,1,98,3,16,11,1
"193",2003,11,"Phetchabun",3,1,27,9,73,0,6,1,0
"194",2003,11,"Phetchaburi",3,0,24,15,45,0,8,1,0
"195",2003,11,"Phichit",21,0,0,21,37,0,6,2,0
"196",2003,11,"Phitsanulok",11,0,2,54,57,0,4,0,0
"197",2003,11,"Phra Nakhon Si Ayutthaya",4,0,2,27,62,0,3,0,0
"198",2003,11,"Phrae",2,0,3,50,38,0,9,0,0
"199",2003,11,"Phuket",2,0,4,51,43,0,11,0,0
"200",2003,11,"Prachin Buri",2,0,12,29,72,0,9,0,0
"201",2003,11,"Prachuap Khiri Khan",17,0,41,55,57,0,19,4,0
"202",2003,11,"Ranong",3,1,9,45,27,0,3,0,0
"203",2003,11,"Ratchaburi",24,0,67,38,83,0,10,1,0
"204",2003,11,"Rayong",22,0,24,35,75,0,3,0,0
"205",2003,11,"Roi Et",14,0,22,3,133,0,71,4,8
